libelle;libelle_plaquette;libelle_ampoule;libelle_flacon;libelle_tube;libelle_stylo;libelle_seringue;libelle_pilulier;libelle_sachet;libelle_comprime;libelle_gelule;libelle_film;libelle_poche;libelle_capsule;nb_plaquette;nb_ampoule;nb_flacon;nb_tube;nb_stylo;nb_seringue;nb_pilulier;nb_sachet;nb_comprime;nb_gelule;nb_film;nb_poche;nb_capsule;nb_ml;statut;etat commerc;agrement col;tx rembours;forme pharma;voies admin;statut admin;date declar annee;date amm annee;type proc;titulaires;substances;prix
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 capsule(s);1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;Présentation active;Déclaration de commercialisation;oui;65%;capsule molle;orale;Autorisation active;1998;1996;Procédure nationale; SCIENCEX;ACÉTATE D'ALPHA-TOCOPHÉROL;3.13
1 stylo prérempli en verre (SureClick) de 0,4 ml;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.4;Présentation active;Déclaration de commercialisation;oui;65%;solution injectable;sous-cutanée;Autorisation active;2006;2005;Procédure centralisée; AMGEN EUROPE;DARBÉPOÉTINE ALFA ;117.65
plaquette(s) thermoformée(s) PVC-aluminium PVDC de 30 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;gélule à libération prolongée;orale;Autorisation active;1983;1981;Procédure nationale; TAKEDA FRANCE;THÉOPHYLLINE;1.42
90 sachet(s) polytéréphtalate (PET) aluminium polyéthylène de 2,1 g;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;poudre;orale;Autorisation active;2013;2012;Procédure décentralisée; SHIRE PHARMACEUTICALS CONTRACTS (ROYAUME-UNI);LANTHANE, CARBONATE DE LANTHANE HYDRATÉ;221.86
plaquette(s) thermoformée(s) PVC-aluminium de 14  gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;gélule à libération prolongée;orale;Autorisation active;2015;2002;Procédure nationale; ARROW GENERIQUES;KÉTOPROFÈNE;3.06
plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé gastro-résistant(e);orale;Autorisation active;2009;2008;Procédure de reconnaissance mutuelle; EG LABO - LABORATOIRES EUROGENERICS;PANTOPRAZOLE, PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;7.21
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 28 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule gastro-résistant(e);orale;Autorisation active;2012;2012;Procédure nationale; ZYDUS FRANCE;ÉSOMÉPRAZOLE MAGNÉSIQUE DIHYDRATÉ, ÉSOMÉPRAZOLE;8.14
plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé dispersible;orale;Autorisation active;2006;2006;Procédure nationale; BIOGARAN;LAMOTRIGINE;6.1
pilulier(s) polyéthylène haute densité (PEHD) de 30 comprimé(s);0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2014;2005;Procédure nationale; MYLAN SAS;RAMIPRIL;6.36
plaquette(s) thermoformée(s) PVC-Aluminium de 60 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé sécable;orale;Autorisation active;2011;2011;Procédure nationale; BIOGARAN;LÉVÉTIRACÉTAM;17.97
1 pilulier(s) polyéthylène de 30  comprimé(s);0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé à sucer;orale;Autorisation active;2003;2002;Procédure nationale; ALFA WASSERMANN PHARMA;CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE, CALCIUM ÉLÉMENT, CHOLÉCALCIFÉROL, CALCIUM (CARBONATE DE);5.9
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2012;2010;Procédure décentralisée; KRKA (SLOVENIE);PÉRINDOPRIL, PÉRINDOPRIL TERT-BUTYLAMINE;18.63
1 tube(s) aluminium verni de 30 g;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;crème;cutanée;Autorisation active;2014;2012;Procédure nationale; TEVA SANTE;CICLOPIROX OLAMINE;2.37
plaquette(s) thermoformée(s) PVC-Aluminium de 16 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;2015;2010;Procédure nationale; MYLAN MEDICAL;PARACÉTAMOL, POUDRE D'OPIUM;1.59
plaquette(s) aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2015;2013;Procédure nationale; SANDOZ;RAMIPRIL, HYDROCHLOROTHIAZIDE;5.29
plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2011;2010;Procédure nationale; ZYDUS FRANCE;OLANZAPINE;23.49
3 tube(s) polypropylène de 20 comprimé(s);0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;20;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé à sucer ou à croquer;orale;Autorisation active;2001;1999;Procédure nationale; SANDOZ;CARBONATE DE CALCIUM, CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE, CALCIUM ÉLÉMENT, CHOLÉCALCIFÉROL;5.9
plaquette(s) thermoformée(s) PVC PVDC aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2009;2001;Procédure nationale; IPSEN PHARMA;VALSARTAN;28.44
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé à libération modifiée;orale;Autorisation active;2011;2010;Procédure nationale; RANBAXY PHARMACIE GENERIQUES;GLICLAZIDE;4.52
plaquette(s) thermoformée(s) PVC-aluminium de 30  gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;1998;1993;Procédure nationale; MYLAN SAS;FÉNOFIBRATE;1.43
1 flacon(s) pressurisé(e)(s) aluminium de 20 g - avec applicateur - avec valve doseuse -;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;mousse;rectale;Autorisation active;1983;1982;Procédure nationale; MEDA PHARMA (FRANCE);HYDROCORTISONE (ACÉTATE D');17.37
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2012;2011;Procédure décentralisée; BIOGARAN;ATORVASTATINE CALCIQUE, ATORVASTATINE;8.13
1 stylo prérempli en verre de 0,3 ml avec aiguille(s) acier inoxydable;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.3;Présentation active;Déclaration de commercialisation;oui;65%;solution injectable;intramusculaire;Autorisation active;2014;2013;Procédure décentralisée; MEDA PHARMA (FRANCE);ADRÉNALINE;38.76
plaquette(s) thermoformée(s) PVC aluminium de 180 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;180;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2007;2006;Procédure nationale; MYLAN SAS;GLIBENCLAMIDE;11.29
plaquette(s) thermoformée(s) polyamide aluminium PVC de 2  comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2008;1990;Procédure nationale; NOVARTIS PHARMA;ONDANSÉTRON, ONDANSÉTRON (CHLORHYDRATE D') DIHYDRATÉ;8.49
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;comprimé orodispersible;orale;Autorisation active;2012;2011;Procédure décentralisée; TEVA SANTE;ÉBASTINE;4.49
2 plaquette(s) thermoformée(s) PVC PVDC aluminium de 15 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;15;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2008;2004;Procédure centralisée; SANOFI CLIR;IRBÉSARTAN;9.62
plaquette(s) thermoformée(s) PVDC PVC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2010;2009;Procédure nationale; CRISTERS;RAMIPRIL;6.36
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé pelliculé;orale;Autorisation active;2014;2011;Procédure décentralisée; MYLAN SAS;HYDROCHLOROTHIAZIDE, VALSARTAN;6.36
plaquette(s) thermoformée(s) aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé gastro-résistant(e);orale;Autorisation active;2009;2009;Procédure nationale; MYLAN SAS;PANTOPRAZOLE, PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;8.14
plaquette(s) thermoformée(s) aluminium PVC PVDC de 30  comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;1977;1996;Procédure nationale; MERCK SANTE;METFORMINE (EMBONATE DE), METFORMINE BASE;2.55
plaquette(s) thermoformée(s) PVC-Aluminium de 7 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;sublinguale;Autorisation active;2010;2008;Procédure nationale; SANDOZ;CHLORHYDRATE DE BUPRÉNORPHINE, BUPRÉNORPHINE;4.23
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé sécable;orale;Autorisation active;2012;2010;Procédure de reconnaissance mutuelle; KRKA (SLOVENIE);VALSARTAN;6.36
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé pelliculé sécable;orale;Autorisation active;2015;2008;Procédure de reconnaissance mutuelle; RATIOPHARM (ALLEMAGNE);HYDROCHLOROTHIAZIDE, LOSARTAN POTASSIQUE;6.36
plaquette(s) aluminium polyamide PVC-Aluminium de 60 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;100%;comprimé dispersible;orale;Autorisation active;2005;2004;Procédure de reconnaissance mutuelle; NOVARTIS PHARMA;ÉVÉROLIMUS;103.92
8 sachet(s) papier polyéthylène aluminium copolymère d'éthylène et d'acide méthacrylique avec sparadraps;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;emplâtre médicamenteux(se);cutanée;Autorisation active;2012;2007;Procédure de reconnaissance mutuelle; GENEVRIER;VALÉRATE DE BÉTAMÉTHASONE, BÉTAMÉTHASONE;21.1
plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé quadrisécable;orale;Autorisation active;2011;2010;Procédure nationale; TEVA SANTE;NÉBIVOLOL BASE, CHLORHYDRATE DE NÉBIVOLOL;17.14
plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2007;1996;Procédure de reconnaissance mutuelle; SANOFI AVENTIS FRANCE;GLIMÉPIRIDE;15.22
1 plaquette(s) thermoformée(s) PVC-Aluminium de 1 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2007;2006;Procédure de reconnaissance mutuelle; MEDIMPEX (ANGLETERRE);LÉVONORGESTREL;5.01
plaquette(s) thermoformée(s) PVC-Aluminium de 30  comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;1920;1989;Procédure nationale; SANOFI AVENTIS FRANCE;PHÉNOBARBITAL;1.09
plaquette(s) thermoformée(s) PVC-Aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé sécable;orale;Autorisation active;2010;2009;Procédure nationale; SANOFI AVENTIS FRANCE;CHLORHYDRATE DE LERCANIDIPINE;20.13
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé sécable;orale;Autorisation active;2012;2009;Procédure nationale; CRISTERS;VALSARTAN;18.63
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2012;2006;Procédure de reconnaissance mutuelle; SANDOZ;GLIMÉPIRIDE;6.7
plaquette(s) thermoformée(s) PVC-aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2000;2000;Procédure de reconnaissance mutuelle; MEDA PHARMA (FRANCE);BISOPROLOL (FUMARATE ACIDE DE);5.27
5 cartouche(s) en verre dans stylo pré-rempli de 3 ml;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Présentation active;Déclaration de commercialisation;oui;65%;suspension injectable;sous-cutanée;Autorisation active;2007;2005;Procédure centralisée; NOVO NORDISK (DANEMARK);INSULINE ASPARTE ISOPHANE BIPHASIQUE ;39.29
plaquette(s) thermoformée(s) aluminium PVC de 84 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2009;2004;Procédure nationale; BIOGARAN;LISINOPRIL ANHYDRE, LISINOPRIL DIHYDRATÉ;14.78
plaquette(s) PVC PVDC aluminium de 28 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule à libération modifiée;orale;Autorisation active;2015;2011;Procédure décentralisée; MEDICE;MÉTHYLPHÉNIDATE, CHLORHYDRATE DE MÉTHYLPHÉNIDATE;10.81
plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé sécable;orale;Autorisation active;2015;2006;Procédure nationale; RATIOPHARM (ALLEMAGNE);TERBINAFINE, CHLORHYDRATE DE TERBINAFINE;24.53
5 cartouche(s) en verre de 3 ml pour stylo;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Présentation active;Déclaration de commercialisation;oui;65%;suspension injectable;sous-cutanée;Autorisation active;2000;1998;Procédure centralisée; ELI LILLY (PAYS BAS);INSULINE LISPRO RECOMBINANTE ;37.59
plaquette(s) thermoformée(s) PVC (ACLAR RX) polytrifluorochloroéthylène aluminium de 28 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule à libération modifiée;orale;Autorisation active;2011;2006;Procédure de reconnaissance mutuelle; SHIRE PHARMACEUTICALS IRELAND (IRLANDE);CHLORHYDRATE DE MÉTHYLPHÉNIDATE, MÉTHYLPHÉNIDATE;18.4
plaquette(s) thermoformée(s) PVC PVDC aluminium de 100 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;2013;2010;Procédure décentralisée; SANDOZ;MYCOPHÉNOLATE MOFÉTIL;54.87
plaquette(s) thermoformée(s) PVC PVDC aluminium de 112 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé pelliculé sécable;orale;Autorisation abrogée;2013;2011;Procédure décentralisée; PFIZER HOLDING FRANCE;CHLORHYDRATE DE VALACICLOVIR, VALACICLOVIR;102.8
5 cartouche(s) en verre dans stylo pré-rempli de 3 ml;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Présentation active;Déclaration de commercialisation;oui;65%;solution injectable;sous-cutanée;Autorisation active;2007;2001;Procédure centralisée; SANOFI AVENTIS (ALLEMAGNE);INSULINE GLARGINE ;55.09
film(s) thermosoudé(s) PVC polyéthylène de 30 suppositoire(s);0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;suppositoire;rectale;Autorisation active;2002;2001;Procédure nationale; NORGINE PHARMA;MÉSALAZINE;20.91
plaquette(s) thermoformée(s) aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2012;2009;Procédure décentralisée; SANDOZ;CANDÉSARTAN CILEXÉTIL;18.63
1 flacon(s) pressurisé(s) aluminium avec embout buccal avec valve doseuse de 200 dose(s);0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;solution pour inhalation;inhalée;Autorisation active;2000;1999;Procédure nationale; TEVA SANTE;DIPROPIONATE DE BÉCLOMÉTHASONE;26.39
5 ampoule(s) en verre de 2 ml;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;Présentation active;Déclaration de commercialisation;oui;65%;solution injectable;intramusculaire,intraveineuse;Autorisation active;1947;1996;Procédure nationale; DB PHARMA;CHLORHYDRATE DE THIAMINE ANHYDRE, CHLORHYDRATE DE THIAMINE;1.97
plaquette(s) thermoformée(s) PVC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;non;65%;comprimé pelliculé;orale;Autorisation active;2007;1998;Procédure nationale; LABORATOIRES ALTER;METFORMINE BASE, CHLORHYDRATE DE METFORMINE;2.85
plaquette(s) thermoformée(s) PVC-Aluminium de 90 gélule(s);1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;gélule;orale;Autorisation active;2011;2000;Procédure nationale; CRISTERS;FÉNOFIBRATE;19.8
plaquette(s) aluminium polyamide PVC-Aluminium de 14 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé gastro-résistant(e);orale;Autorisation active;2012;2009;Procédure décentralisée; RANBAXY PHARMACIE GENERIQUES;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ, PANTOPRAZOLE;3.49
plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable pelliculé;orale;Autorisation active;2006;2006;Procédure nationale; MYLAN SAS;CARVÉDILOL;5.47
plaquette(s) thermoformée(s) polyamide aluminium PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;1998;1997;Procédure de reconnaissance mutuelle; PFIZER HOLDING FRANCE;ATORVASTATINE CALCIQUE TRIHYDRATÉE, ATORVASTATINE;13.0
1 pot(s) polypropylène de 150 g;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;pâte;orale;Autorisation active;1997;1995;Procédure nationale; BIOCODEX;VASELINE, LACTULOSE, PARAFFINE LIQUIDE;4.04
plaquette(s) thermoformée(s) polyamide aluminium PVC de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé à libération prolongée;orale;Autorisation active;2010;2009;Procédure centralisée; BOEHRINGER INGELHEIM INTERNATIONAL;PRAMIPEXOLE (DICHLORHYDRATE DE) MONOHYDRATÉ, PRAMIPEXOLE BASE;10.27
plaquette(s) thermoformée(s) PVC PVDC aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé sécable;orale;Autorisation active;2010;2009;Procédure nationale; SANOFI AVENTIS FRANCE;SPIRONOLACTONE;3.49
plaquette(s) thermoformée(s) PVC PVDC aluminium de 6 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé pelliculé;orale;Autorisation active;2011;2011;Procédure nationale; BIOGARAN;RISÉDRONATE MONOSODIQUE ANHYDRE, RISÉDRONATE MONOSODIQUE;46.23
plaquette(s) thermoformée(s) PVC polyéthylène PVDC aluminium de 90 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;Présentation active;Déclaration d'arrêt de commercialisation;non;65%;comprimé pelliculé sécable;orale;Autorisation active;2014;2004;Procédure nationale; RATIOPHARM (ALLEMAGNE);SIMVASTATINE;23.71
plaquette(s) thermoformée(s) (ACLAR RX) polytrifluorochloroéthylène PVC-Aluminium de 30 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé;orale;Autorisation active;2012;2011;Procédure décentralisée; MYLAN SAS;IRBÉSARTAN;6.36
1 flacon(s) en verre - ampoule(s) en verre de 15,6 ml;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15.6;Présentation active;Déclaration de commercialisation;oui;65%;poudre et  solvant pour solution injectable;intraveineuse;Autorisation active;2008;1991;Procédure nationale; PFIZER HOLDING FRANCE;MÉTHYLPREDNISOLONE (HÉMISUCCINATE DE), MÉTHYLPREDNISOLONE;13.0
plaquette(s) thermoformée(s) PVC-Aluminium de 28 comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;65%;comprimé sécable;orale;Autorisation active;2004;2004;Procédure nationale; SANDOZ;LISINOPRIL ANHYDRE, LISINOPRIL DIHYDRATÉ;3.11
plaquette(s) thermoformée(s) PVC-Aluminium de 15  comprimé(s);1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;Présentation active;Déclaration de commercialisation;oui;30%;comprimé pelliculé sécable;orale;Autorisation active;1988;1987;Procédure nationale; SANOFI AVENTIS FRANCE;CÉTIRIZINE (DICHLORHYDRATE DE);2.69
